id,name,sku,category,price,quantity,min_stock_level,reorder_point,safety_stock,created_at,updated_at
63,Produce Home,SKU00063,Defense,42.3,262,25,41,3,2025-11-02 19:07:37.403317,2025-11-02 19:07:37.403317
64,Arrive Would,SKU00064,Suddenly,161.88,137,22,34,12,2025-11-02 19:07:37.403363,2025-11-02 19:07:37.403363
65,Human Claim,SKU00065,Event,468.4,67,7,55,17,2025-11-02 19:07:37.403409,2025-11-02 19:07:37.403409
66,Size Bad,SKU00066,Agency,495.08,459,31,11,19,2025-11-02 19:07:37.403456,2025-11-02 19:07:37.403456
67,Area Reflect,SKU00067,Family,425.09,402,47,57,9,2025-11-02 19:07:37.403501,2025-11-02 19:07:37.403502
68,Can Education,SKU00068,Sense,150.33,256,30,59,15,2025-11-02 19:07:37.403548,2025-11-02 19:07:37.403548
69,Suddenly Rise,SKU00069,Result,45.39,400,40,54,3,2025-11-02 19:07:37.403594,2025-11-02 19:07:37.403594
70,Near Yourself,SKU00070,Member,40.12,409,18,85,17,2025-11-02 19:07:37.403641,2025-11-02 19:07:37.403641
71,Interview Accept,SKU00071,Establish,190.91,331,36,96,19,2025-11-02 19:07:37.403697,2025-11-02 19:07:37.403697
72,Either Describe,SKU00072,Method,23.49,335,19,63,13,2025-11-02 19:07:37.403745,2025-11-02 19:07:37.403745
73,Vote For,SKU00073,Might,67.89,490,12,62,14,2025-11-02 19:07:37.403792,2025-11-02 19:07:37.403792
74,Conference Perhaps,SKU00074,Development,482.8,112,8,15,15,2025-11-02 19:07:37.403837,2025-11-02 19:07:37.403838
75,Teacher Can,SKU00075,Hundred,101.22,359,39,64,10,2025-11-02 19:07:37.403884,2025-11-02 19:07:37.403884
76,Themselves Whether,SKU00076,Agree,364.42,278,46,39,19,2025-11-02 19:07:37.403930,2025-11-02 19:07:37.403930
77,Look Environment,SKU00077,Single,202.42,284,32,67,7,2025-11-02 19:07:37.404172,2025-11-02 19:07:37.404174
78,Still Involve,SKU00078,Memory,96.25,327,27,18,14,2025-11-02 19:07:37.404266,2025-11-02 19:07:37.404267
79,Have Town,SKU00079,Light,207.43,67,5,43,18,2025-11-02 19:07:37.404316,2025-11-02 19:07:37.404316
80,Fear Catch,SKU00080,Low,95.52,246,5,25,9,2025-11-02 19:07:37.404363,2025-11-02 19:07:37.404364
81,Street Control,SKU00081,Able,330.27,78,26,76,14,2025-11-02 19:07:37.404410,2025-11-02 19:07:37.404411
82,Degree Full,SKU00082,Phone,285.19,444,41,95,16,2025-11-02 19:07:37.404457,2025-11-02 19:07:37.404458
83,Research Seat,SKU00083,Option,50.44,56,34,71,7,2025-11-02 19:07:37.404504,2025-11-02 19:07:37.404504
84,Crime Father,SKU00084,History,239.72,227,30,57,9,2025-11-02 19:07:37.404550,2025-11-02 19:07:37.404551
85,Skill Wear,SKU00085,Certainly,176.42,263,34,32,12,2025-11-02 19:07:37.404597,2025-11-02 19:07:37.404597
86,Manager Class,SKU00086,Race,474.83,109,38,61,12,2025-11-02 19:07:37.404644,2025-11-02 19:07:37.404644
87,Case Direction,SKU00087,Measure,314.8,451,36,10,7,2025-11-02 19:07:37.404708,2025-11-02 19:07:37.404708
88,Choose Knowledge,SKU00088,Training,343.56,25,28,89,4,2025-11-02 19:07:37.404756,2025-11-02 19:07:37.404757
89,Get Seven,SKU00089,Wide,18.12,393,36,93,14,2025-11-02 19:07:37.404803,2025-11-02 19:07:37.404803
90,Above Nice,SKU00090,National,197.14,389,37,42,13,2025-11-02 19:07:37.404850,2025-11-02 19:07:37.404851
91,Choice Majority,SKU00091,Our,471.03,332,5,42,10,2025-11-02 19:07:37.404903,2025-11-02 19:07:37.404904
92,Draw Song,SKU00092,Economic,453.15,53,33,22,14,2025-11-02 19:07:37.404950,2025-11-02 19:07:37.404950
93,Week Imagine,SKU00093,High,54.89,395,39,96,19,2025-11-02 19:07:37.404996,2025-11-02 19:07:37.404997
94,Fast Together,SKU00094,Visit,329.58,102,30,83,4,2025-11-02 19:07:37.405044,2025-11-02 19:07:37.405044
95,Miss Least,SKU00095,Agree,134.04,400,8,67,15,2025-11-02 19:07:37.405091,2025-11-02 19:07:37.405092
96,Responsibility Treat,SKU00096,She,468.64,385,40,98,6,2025-11-02 19:07:37.405147,2025-11-02 19:07:37.405147
97,Follow Plant,SKU00097,Themselves,92.83,466,28,73,5,2025-11-02 19:07:37.405194,2025-11-02 19:07:37.405195
98,Many Five,SKU00098,Show,495.3,45,22,33,7,2025-11-02 19:07:37.405241,2025-11-02 19:07:37.405241
99,Almost Hope,SKU00099,Million,123.11,192,17,32,5,2025-11-02 19:07:37.405287,2025-11-02 19:07:37.405288
100,Space Report,SKU00100,Nice,56.05,282,24,98,15,2025-11-02 19:07:37.405334,2025-11-02 19:07:37.405334
101,Cold Center,SKU00101,Style,448.28,186,40,21,11,2025-11-02 19:07:37.405380,2025-11-02 19:07:37.405380
102,It Response,SKU00102,Board,424.34,274,11,37,16,2025-11-02 19:07:37.405426,2025-11-02 19:07:37.405427
103,Evidence Boy,SKU00103,Will,340.0,61,23,25,7,2025-11-02 19:07:37.405473,2025-11-02 19:07:37.405473
104,Wish And,SKU00104,Air,150.14,34,25,62,18,2025-11-02 19:07:37.405518,2025-11-02 19:07:37.405519
105,Individual Research,SKU00105,Rule,395.86,118,46,67,9,2025-11-02 19:07:37.405565,2025-11-02 19:07:37.405565
106,Citizen Probably,SKU00106,Certainly,497.99,131,9,44,13,2025-11-02 19:07:37.405611,2025-11-02 19:07:37.405611
107,Recent Soon,SKU00107,Executive,354.39,248,16,18,12,2025-11-02 19:07:37.405656,2025-11-02 19:07:37.405657
108,Impact Page,SKU00108,Remember,419.3,410,42,16,16,2025-11-02 19:07:37.405713,2025-11-02 19:07:37.405713
109,Exactly Perhaps,SKU00109,Season,351.98,179,13,59,4,2025-11-02 19:07:37.405759,2025-11-02 19:07:37.405760
110,Whose Eat,SKU00110,Attorney,45.27,174,42,92,10,2025-11-02 19:07:37.405806,2025-11-02 19:07:37.405806
111,Word Toward,SKU00111,Themselves,190.26,330,26,26,9,2025-11-02 19:07:37.405852,2025-11-02 19:07:37.405853
112,Report Pressure,SKU00112,Whole,493.07,141,40,79,14,2025-11-02 19:07:37.405899,2025-11-02 19:07:37.405899
113,Sometimes International,SKU00113,Argue,281.41,100,14,99,9,2025-11-02 19:07:37.405945,2025-11-02 19:07:37.405946
114,Wonder Why,SKU00114,Guess,220.05,182,17,67,10,2025-11-02 19:07:37.405991,2025-11-02 19:07:37.405992
115,Mr Treat,SKU00115,Own,63.18,370,43,10,5,2025-11-02 19:07:37.406037,2025-11-02 19:07:37.406038
116,Small Money,SKU00116,Tax,293.77,199,29,65,3,2025-11-02 19:07:37.406084,2025-11-02 19:07:37.406084
117,Movement Pull,SKU00117,Himself,115.68,143,48,54,15,2025-11-02 19:07:37.406136,2025-11-02 19:07:37.406136
118,Identify Product,SKU00118,Big,26.36,158,20,94,13,2025-11-02 19:07:37.406183,2025-11-02 19:07:37.406184
119,So Hold,SKU00119,Hear,459.96,173,39,28,17,2025-11-02 19:07:37.406229,2025-11-02 19:07:37.406230
120,Ahead Memory,SKU00120,Factor,316.55,23,19,40,3,2025-11-02 19:07:37.406276,2025-11-02 19:07:37.406276
121,Nation Wear,SKU00121,Our,315.64,383,7,25,13,2025-11-02 19:07:37.406324,2025-11-02 19:07:37.406325
122,Very Girl,SKU00122,Kind,144.08,233,20,81,8,2025-11-02 19:07:37.406371,2025-11-02 19:07:37.406371
123,Look Bad,SKU00123,Cut,230.55,165,12,45,10,2025-11-02 19:07:37.406417,2025-11-02 19:07:37.406417
124,Computer Similar,SKU00124,Attention,179.91,187,32,50,6,2025-11-02 19:07:37.406463,2025-11-02 19:07:37.406463
125,According Activity,SKU00125,Paper,493.17,456,21,82,3,2025-11-02 19:07:37.406509,2025-11-02 19:07:37.406510
126,Prepare Police,SKU00126,Base,208.55,470,32,38,15,2025-11-02 19:07:37.406555,2025-11-02 19:07:37.406556
127,Administration Past,SKU00127,Film,455.91,262,10,91,7,2025-11-02 19:07:37.406602,2025-11-02 19:07:37.406602
128,Environment Material,SKU00128,Enter,308.64,459,14,65,15,2025-11-02 19:07:37.406648,2025-11-02 19:07:37.406649
129,Light Together,SKU00129,Hand,86.59,298,5,27,17,2025-11-02 19:07:37.406704,2025-11-02 19:07:37.406704
130,Maintain Available,SKU00130,Race,79.46,350,30,72,19,2025-11-02 19:07:37.406751,2025-11-02 19:07:37.406751
131,Peace True,SKU00131,Establish,419.97,107,45,10,18,2025-11-02 19:07:37.406797,2025-11-02 19:07:37.406797
132,Base Artist,SKU00132,Whole,42.3,485,21,78,7,2025-11-02 19:07:37.406844,2025-11-02 19:07:37.406844
133,Door Sell,SKU00133,Local,498.34,446,27,62,7,2025-11-02 19:07:37.406890,2025-11-02 19:07:37.406890
134,Into Nation,SKU00134,It,379.76,92,21,94,16,2025-11-02 19:07:37.406936,2025-11-02 19:07:37.406936
135,Free Or,SKU00135,Economy,106.5,10,49,86,6,2025-11-02 19:07:37.406981,2025-11-02 19:07:37.406982
136,Financial Population,SKU00136,Some,118.18,378,44,41,4,2025-11-02 19:07:37.407029,2025-11-02 19:07:37.407029
137,Even Nor,SKU00137,Share,182.29,81,43,35,4,2025-11-02 19:07:37.407075,2025-11-02 19:07:37.407076
138,Oil World,SKU00138,Involve,240.72,268,16,74,14,2025-11-02 19:07:37.407126,2025-11-02 19:07:37.407126
139,Through Our,SKU00139,Rock,282.66,231,21,56,17,2025-11-02 19:07:37.407173,2025-11-02 19:07:37.407174
140,Old Officer,SKU00140,Sort,393.41,407,6,84,9,2025-11-02 19:07:37.407219,2025-11-02 19:07:37.407220
141,Gun Including,SKU00141,Mrs,72.5,261,38,47,4,2025-11-02 19:07:37.407266,2025-11-02 19:07:37.407266
142,Impact Economic,SKU00142,Individual,320.14,344,31,60,4,2025-11-02 19:07:37.407312,2025-11-02 19:07:37.407313
143,Walk End,SKU00143,Because,177.39,175,37,97,17,2025-11-02 19:07:37.407358,2025-11-02 19:07:37.407358
144,Art Wide,SKU00144,Phone,201.29,256,46,60,19,2025-11-02 19:07:37.407404,2025-11-02 19:07:37.407404
145,Read Money,SKU00145,Consider,475.01,397,14,65,19,2025-11-02 19:07:37.407450,2025-11-02 19:07:37.407451
146,Or Career,SKU00146,Article,248.6,349,28,78,4,2025-11-02 19:07:37.407496,2025-11-02 19:07:37.407497
147,Produce Happen,SKU00147,Painting,312.3,459,17,52,18,2025-11-02 19:07:37.407542,2025-11-02 19:07:37.407543
148,Sea Necessary,SKU00148,Usually,174.07,120,27,64,18,2025-11-02 19:07:37.407588,2025-11-02 19:07:37.407589
149,Source Blood,SKU00149,Maybe,80.19,383,20,17,6,2025-11-02 19:07:37.407634,2025-11-02 19:07:37.407635
150,Lot System,SKU00150,Series,95.03,193,29,76,5,2025-11-02 19:07:37.407689,2025-11-02 19:07:37.407690
151,Sit Born,SKU00151,Public,260.04,169,23,30,7,2025-11-02 19:07:37.407737,2025-11-02 19:07:37.407737
152,Social Available,SKU00152,Upon,175.82,179,26,30,8,2025-11-02 19:07:37.407788,2025-11-02 19:07:37.407789
153,Artist Person,SKU00153,Long,64.71,242,16,99,16,2025-11-02 19:07:37.407835,2025-11-02 19:07:37.407835
154,Name Paper,SKU00154,Since,185.31,87,30,54,11,2025-11-02 19:07:37.407880,2025-11-02 19:07:37.407881
155,Stage List,SKU00155,Hear,50.68,56,26,65,13,2025-11-02 19:07:37.407926,2025-11-02 19:07:37.407927
156,Enough Grow,SKU00156,Case,460.83,70,21,35,6,2025-11-02 19:07:37.407972,2025-11-02 19:07:37.407973
157,Natural Bring,SKU00157,Their,404.07,122,39,61,17,2025-11-02 19:07:37.408018,2025-11-02 19:07:37.408019
158,Actually College,SKU00158,Best,270.61,65,26,23,16,2025-11-02 19:07:37.408065,2025-11-02 19:07:37.408065
159,Why School,SKU00159,Often,233.95,374,30,23,9,2025-11-02 19:07:37.408111,2025-11-02 19:07:37.408111
160,Serve Nothing,SKU00160,Represent,345.15,416,47,27,8,2025-11-02 19:07:37.408164,2025-11-02 19:07:37.408165
161,School Culture,SKU00161,Role,268.65,24,29,37,12,2025-11-02 19:07:37.408210,2025-11-02 19:07:37.408211
162,Serve Direction,SKU00162,President,284.16,282,43,95,14,2025-11-02 19:07:37.408257,2025-11-02 19:07:37.408257
163,Responsibility Special,SKU00163,Agreement,120.44,22,24,34,6,2025-11-02 19:07:37.408302,2025-11-02 19:07:37.408303
164,Lay History,SKU00164,Small,180.78,242,49,27,17,2025-11-02 19:07:37.408349,2025-11-02 19:07:37.408349
165,Less Maintain,SKU00165,Question,294.18,479,38,17,10,2025-11-02 19:07:37.408395,2025-11-02 19:07:37.408395
166,Material Room,SKU00166,Other,218.67,92,46,50,7,2025-11-02 19:07:37.408441,2025-11-02 19:07:37.408441
167,Result Who,SKU00167,Remember,184.73,291,38,68,15,2025-11-02 19:07:37.408487,2025-11-02 19:07:37.408488
168,Evening Attorney,SKU00168,Discover,168.52,386,37,62,8,2025-11-02 19:07:37.408533,2025-11-02 19:07:37.408534
169,Yet In,SKU00169,Head,185.85,121,8,84,11,2025-11-02 19:07:37.408579,2025-11-02 19:07:37.408580
170,Wife Service,SKU00170,Need,44.72,252,35,49,7,2025-11-02 19:07:37.408625,2025-11-02 19:07:37.408626
171,Sure Future,SKU00171,Remain,491.28,232,10,75,13,2025-11-02 19:07:37.408674,2025-11-02 19:07:37.408674
172,Report Business,SKU00172,Address,433.43,143,34,60,4,2025-11-02 19:07:37.408729,2025-11-02 19:07:37.408730
173,Represent Ability,SKU00173,Water,280.6,401,30,60,15,2025-11-02 19:07:37.408776,2025-11-02 19:07:37.408776
174,Station Pay,SKU00174,Administration,385.9,335,30,77,3,2025-11-02 19:07:37.408822,2025-11-02 19:07:37.408823
175,Again Whatever,SKU00175,Believe,369.44,149,5,99,16,2025-11-02 19:07:37.408869,2025-11-02 19:07:37.408869
176,Than Such,SKU00176,Week,147.87,302,15,86,13,2025-11-02 19:07:37.408915,2025-11-02 19:07:37.408915
177,Security Unit,SKU00177,Sell,298.97,399,14,14,12,2025-11-02 19:07:37.408961,2025-11-02 19:07:37.408961
178,Major Cultural,SKU00178,During,495.03,22,44,11,3,2025-11-02 19:07:37.409007,2025-11-02 19:07:37.409007
179,He Congress,SKU00179,Gun,73.72,338,21,18,13,2025-11-02 19:07:37.409055,2025-11-02 19:07:37.409055
180,Actually No,SKU00180,We,239.22,47,39,58,7,2025-11-02 19:07:37.409101,2025-11-02 19:07:37.409101
181,Like Senior,SKU00181,Edge,416.16,245,18,84,11,2025-11-02 19:07:37.409153,2025-11-02 19:07:37.409153
182,Agree Nearly,SKU00182,Will,106.48,492,39,10,10,2025-11-02 19:07:37.409199,2025-11-02 19:07:37.409199
183,Person Voice,SKU00183,Board,362.19,69,33,81,13,2025-11-02 19:07:37.409321,2025-11-02 19:07:37.409323
184,Above Direction,SKU00184,Article,398.66,279,34,44,7,2025-11-02 19:07:37.409376,2025-11-02 19:07:37.409377
185,Relationship Free,SKU00185,Fall,408.21,388,18,35,6,2025-11-02 19:07:37.409423,2025-11-02 19:07:37.409424
186,Lose Culture,SKU00186,Represent,161.52,51,29,27,10,2025-11-02 19:07:37.409470,2025-11-02 19:07:37.409470
187,Loss Analysis,SKU00187,Pressure,228.71,113,18,41,8,2025-11-02 19:07:37.409517,2025-11-02 19:07:37.409517
188,Live Throw,SKU00188,Tree,272.19,72,19,34,19,2025-11-02 19:07:37.409563,2025-11-02 19:07:37.409563
189,Skill Me,SKU00189,Event,450.29,459,18,62,10,2025-11-02 19:07:37.409609,2025-11-02 19:07:37.409610
190,Production Present,SKU00190,Southern,118.37,48,10,15,5,2025-11-02 19:07:37.409656,2025-11-02 19:07:37.409656
191,Down Father,SKU00191,Stage,315.72,465,46,73,17,2025-11-02 19:07:37.409717,2025-11-02 19:07:37.409718
192,Generation Strategy,SKU00192,Husband,439.92,298,34,36,6,2025-11-02 19:07:37.409765,2025-11-02 19:07:37.409765
193,Wonder All,SKU00193,Despite,498.86,450,37,36,3,2025-11-02 19:07:37.409812,2025-11-02 19:07:37.409812
194,Seem Past,SKU00194,Collection,21.6,95,6,19,7,2025-11-02 19:07:37.409858,2025-11-02 19:07:37.409859
195,Catch Alone,SKU00195,Include,439.0,362,42,22,17,2025-11-02 19:07:37.409921,2025-11-02 19:07:37.409921
196,Church Painting,SKU00196,Paper,423.99,225,19,38,10,2025-11-02 19:07:37.409967,2025-11-02 19:07:37.409968
197,Fly National,SKU00197,Before,79.21,56,8,85,15,2025-11-02 19:07:37.410014,2025-11-02 19:07:37.410014
198,Painting Dream,SKU00198,Test,361.42,104,40,45,13,2025-11-02 19:07:37.410060,2025-11-02 19:07:37.410061
199,Miss Collection,SKU00199,Think,301.52,157,15,83,10,2025-11-02 19:07:37.410106,2025-11-02 19:07:37.410107
200,Threat Peace,SKU00200,Risk,293.78,209,27,56,16,2025-11-02 19:07:37.410160,2025-11-02 19:07:37.410161
201,Camera Respond,SKU00201,None,309.4,227,17,71,3,2025-11-02 19:07:37.410206,2025-11-02 19:07:37.410207
202,Not Wear,SKU00202,Respond,13.96,325,47,85,14,2025-11-02 19:07:37.410254,2025-11-02 19:07:37.410254
203,Ground Energy,SKU00203,Surface,284.74,333,9,46,10,2025-11-02 19:07:37.410300,2025-11-02 19:07:37.410301
204,Conference Send,SKU00204,Policy,327.43,101,35,18,16,2025-11-02 19:07:37.410346,2025-11-02 19:07:37.410347
205,Feeling Standard,SKU00205,Wide,467.51,223,15,32,3,2025-11-02 19:07:37.410392,2025-11-02 19:07:37.410393
206,Certain Event,SKU00206,Some,61.05,414,30,45,3,2025-11-02 19:07:37.410439,2025-11-02 19:07:37.410439
207,Something Water,SKU00207,Social,435.6,64,44,24,17,2025-11-02 19:07:37.410485,2025-11-02 19:07:37.410485
208,Teacher Else,SKU00208,Begin,32.11,146,14,61,11,2025-11-02 19:07:37.410531,2025-11-02 19:07:37.410531
209,Middle Hundred,SKU00209,Any,61.56,253,29,99,13,2025-11-02 19:07:37.410577,2025-11-02 19:07:37.410577
210,Business Explain,SKU00210,Dream,461.87,400,22,43,19,2025-11-02 19:07:37.410623,2025-11-02 19:07:37.410623
211,Light Wish,SKU00211,Fish,295.6,452,48,60,9,2025-11-02 19:07:37.410669,2025-11-02 19:07:37.410670
212,Itself How,SKU00212,Loss,86.93,353,37,58,13,2025-11-02 19:07:37.410727,2025-11-02 19:07:37.410727
213,Important Trial,SKU00213,Ahead,317.97,165,25,58,9,2025-11-02 19:07:37.410773,2025-11-02 19:07:37.410773
214,Return Positive,SKU00214,Material,487.89,370,24,95,10,2025-11-02 19:07:37.410819,2025-11-02 19:07:37.410819
215,Language Sit,SKU00215,Evening,253.59,266,36,22,19,2025-11-02 19:07:37.410866,2025-11-02 19:07:37.410866
216,Whom Base,SKU00216,See,23.09,295,20,49,3,2025-11-02 19:07:37.410912,2025-11-02 19:07:37.410913
217,Once Simple,SKU00217,Practice,388.89,184,6,47,6,2025-11-02 19:07:37.410958,2025-11-02 19:07:37.410958
218,Least Big,SKU00218,A,95.05,422,43,12,12,2025-11-02 19:07:37.411004,2025-11-02 19:07:37.411004
219,Ability Thought,SKU00219,Rock,139.02,375,38,96,9,2025-11-02 19:07:37.411050,2025-11-02 19:07:37.411050
220,Start Three,SKU00220,Watch,331.17,330,7,97,10,2025-11-02 19:07:37.411096,2025-11-02 19:07:37.411096
221,Section Garden,SKU00221,Along,56.53,248,41,76,3,2025-11-02 19:07:37.411149,2025-11-02 19:07:37.411149
222,Challenge Value,SKU00222,Per,280.58,273,38,44,16,2025-11-02 19:07:37.411196,2025-11-02 19:07:37.411196
223,Clear Really,SKU00223,Whose,303.58,311,47,25,6,2025-11-02 19:07:37.411242,2025-11-02 19:07:37.411243
224,Onto Administration,SKU00224,Part,472.48,191,25,23,18,2025-11-02 19:07:37.411289,2025-11-02 19:07:37.411290
225,Yet Home,SKU00225,Hundred,48.03,339,11,42,18,2025-11-02 19:07:37.411337,2025-11-02 19:07:37.411337
