id,customer_id,status,created_at,updated_at,total_amount
147,124,completed,2025-05-27,2026-03-27,1088.68
148,90,pending,2025-05-28,2026-03-28,1096.99
149,138,completed,2025-05-29,2026-03-29,1064.03
150,45,cancelled,2025-05-30,2026-03-30,1033.85
151,198,cancelled,2025-05-31,2026-03-31,1040.12
152,124,completed,2025-06-01,2026-04-01,1089.89
153,90,pending,2025-06-02,2026-04-02,1084.22
154,138,completed,2025-06-03,2026-04-03,1096.65
155,45,cancelled,2025-06-04,2026-04-04,1072.19
156,198,cancelled,2025-06-05,2026-04-05,1075.9
157,124,completed,2025-06-06,2026-04-06,1050.51
158,90,pending,2025-06-07,2026-04-07,1051.94
159,138,completed,2025-06-08,2026-04-08,1049.12
160,45,cancelled,2025-06-09,2026-04-09,1009.13
161,198,cancelled,2025-06-10,2026-04-10,1033.62
162,124,completed,2025-06-11,2026-04-11,1046.53
163,90,pending,2025-06-12,2026-04-12,1090.6
164,138,completed,2025-06-13,2026-04-13,1061.54
165,45,cancelled,2025-06-14,2026-04-14,1077.17
166,198,cancelled,2025-06-15,2026-04-15,1095.03
167,124,completed,2025-06-16,2026-04-16,1074.49
168,90,pending,2025-06-17,2026-04-17,1093.98
169,138,completed,2025-06-18,2026-04-18,1064.12
170,45,cancelled,2025-06-19,2026-04-19,1052.36
171,198,cancelled,2025-06-20,2026-04-20,1057.87
172,124,completed,2025-06-21,2026-04-21,1044.49
173,90,pending,2025-06-22,2026-04-22,1074.02
174,138,completed,2025-06-23,2026-04-23,1070.51
175,45,cancelled,2025-06-24,2026-04-24,1094.68
176,198,cancelled,2025-06-25,2026-04-25,1079.07
177,124,completed,2025-06-26,2026-04-26,1010.78
178,90,pending,2025-06-27,2026-04-27,1065.27
179,138,completed,2025-06-28,2026-04-28,1085.34
180,45,cancelled,2025-06-29,2026-04-29,1082.46
181,198,cancelled,2025-06-30,2026-04-30,1040.75
182,124,completed,2025-07-01,2026-05-01,1021.01
183,90,pending,2025-07-02,2026-05-02,1086.83
184,138,completed,2025-07-03,2026-05-03,1030.5
185,45,cancelled,2025-07-04,2026-05-04,1064.98
186,198,cancelled,2025-07-05,2026-05-05,1047.66
187,124,completed,2025-07-06,2026-05-06,1005.33
188,90,pending,2025-07-07,2026-05-07,1068.24
189,138,completed,2025-07-08,2026-05-08,1016.47
190,45,cancelled,2025-07-09,2026-05-09,1083.07
191,198,cancelled,2025-07-10,2026-05-10,1031.28
192,124,completed,2025-07-11,2026-05-11,1077.43
193,90,pending,2025-07-12,2026-05-12,1080.13
194,138,completed,2025-07-13,2026-05-13,1045.0
195,45,cancelled,2025-07-14,2026-05-14,1018.17
196,198,cancelled,2025-07-15,2026-05-15,1038.78
197,124,completed,2025-07-16,2026-05-16,1093.88
198,90,pending,2025-07-17,2026-05-17,1005.06
199,138,completed,2025-07-18,2026-05-18,1086.37
200,45,cancelled,2025-07-19,2026-05-19,1053.67
201,198,cancelled,2025-07-20,2026-05-20,1013.6
202,124,completed,2025-07-21,2026-05-21,1090.82
203,90,pending,2025-07-22,2026-05-22,1009.65
204,138,completed,2025-07-23,2026-05-23,1034.5
205,45,cancelled,2025-07-24,2026-05-24,1078.15
206,198,cancelled,2025-07-25,2026-05-25,1092.95
207,124,completed,2025-07-26,2026-05-26,1093.28
208,90,pending,2025-07-27,2026-05-27,1097.14
209,138,completed,2025-07-28,2026-05-28,1052.09
210,45,cancelled,2025-07-29,2026-05-29,1059.53
211,198,cancelled,2025-07-30,2026-05-30,1029.3
212,124,completed,2025-07-31,2026-05-31,1000.86
213,90,pending,2025-08-01,2026-06-01,1092.56
214,138,completed,2025-08-02,2026-06-02,1007.96
215,45,cancelled,2025-08-03,2026-06-03,1032.59
216,198,cancelled,2025-08-04,2026-06-04,1021.95
217,124,completed,2025-08-05,2026-06-05,1008.29
218,90,pending,2025-08-06,2026-06-06,1070.08
219,138,completed,2025-08-07,2026-06-07,1061.07
220,45,cancelled,2025-08-08,2026-06-08,1017.73
221,198,cancelled,2025-08-09,2026-06-09,1025.62
222,124,completed,2025-08-10,2026-06-10,1006.58
223,90,pending,2025-08-11,2026-06-11,1039.23
224,138,completed,2025-08-12,2026-06-12,1066.19
225,45,cancelled,2025-08-13,2026-06-13,1088.13
226,198,cancelled,2025-08-14,2026-06-14,1077.08
227,124,completed,2025-08-15,2026-06-15,1091.68
228,90,pending,2025-08-16,2026-06-16,1008.25
229,138,completed,2025-08-17,2026-06-17,1022.34
230,45,cancelled,2025-08-18,2026-06-18,1044.02
231,198,cancelled,2025-08-19,2026-06-19,1022.0
232,124,completed,2025-08-20,2026-06-20,1093.93
233,90,pending,2025-08-21,2026-06-21,1097.38
234,138,completed,2025-08-22,2026-06-22,1024.01
235,45,cancelled,2025-08-23,2026-06-23,1013.82
236,198,cancelled,2025-08-24,2026-06-24,1006.67
237,124,completed,2025-08-25,2026-06-25,1047.07
238,90,pending,2025-08-26,2026-06-26,1013.16
239,138,completed,2025-08-27,2026-06-27,1021.29
240,45,cancelled,2025-08-28,2026-06-28,1027.88
241,198,cancelled,2025-08-29,2026-06-29,1032.26
242,124,completed,2025-08-30,2026-06-30,1075.8
243,90,pending,2025-08-31,2026-07-01,1004.69
244,138,completed,2025-09-01,2026-07-02,1045.53
245,45,cancelled,2025-09-02,2026-07-03,1029.99
246,198,cancelled,2025-09-03,2026-07-04,1017.34
247,124,completed,2025-09-04,2026-07-05,1031.84
248,90,pending,2025-09-05,2026-07-06,1098.27
249,138,completed,2025-09-06,2026-07-07,1064.7
250,45,cancelled,2025-09-07,2026-07-08,1030.98
251,198,cancelled,2025-09-08,2026-07-09,1047.29
252,124,completed,2025-09-09,2026-07-10,1005.28
253,90,pending,2025-09-10,2026-07-11,1041.97
254,138,completed,2025-09-11,2026-07-12,1097.73
255,45,cancelled,2025-09-12,2026-07-13,1010.61
256,198,cancelled,2025-09-13,2026-07-14,1038.43
257,124,completed,2025-09-14,2026-07-15,1031.44
258,90,pending,2025-09-15,2026-07-16,1049.79
259,138,completed,2025-09-16,2026-07-17,1060.86
260,45,cancelled,2025-09-17,2026-07-18,1059.39
261,198,cancelled,2025-09-18,2026-07-19,1098.3
262,124,completed,2025-09-19,2026-07-20,1003.74
263,90,pending,2025-09-20,2026-07-21,1090.36
264,138,completed,2025-09-21,2026-07-22,1042.33
265,45,cancelled,2025-09-22,2026-07-23,1035.75
266,198,cancelled,2025-09-23,2026-07-24,1071.05
267,124,completed,2025-09-24,2026-07-25,1086.85
268,90,pending,2025-09-25,2026-07-26,1039.41
269,138,completed,2025-09-26,2026-07-27,1041.71
270,45,cancelled,2025-09-27,2026-07-28,1015.6
271,198,cancelled,2025-09-28,2026-07-29,1018.13
272,124,completed,2025-09-29,2026-07-30,1079.6
273,90,pending,2025-09-30,2026-07-31,1003.08
274,138,completed,2025-10-01,2026-08-01,1021.2
275,45,cancelled,2025-10-02,2026-08-02,1042.19
276,198,cancelled,2025-10-03,2026-08-03,1016.28
277,124,completed,2025-10-04,2026-08-04,1075.09
278,90,pending,2025-10-05,2026-08-05,1080.32
279,138,completed,2025-10-06,2026-08-06,1083.54
280,45,cancelled,2025-10-07,2026-08-07,1084.37
281,198,cancelled,2025-10-08,2026-08-08,1022.93
282,124,completed,2025-10-09,2026-08-09,1080.72
283,90,pending,2025-10-10,2026-08-10,1010.39
284,138,completed,2025-10-11,2026-08-11,1049.68
285,45,cancelled,2025-10-12,2026-08-12,1056.27
286,198,cancelled,2025-10-13,2026-08-13,1057.36
287,124,completed,2025-10-14,2026-08-14,1066.97
288,90,pending,2025-10-15,2026-08-15,1029.48
289,138,completed,2025-10-16,2026-08-16,1063.14
290,45,cancelled,2025-10-17,2026-08-17,1006.42
291,198,cancelled,2025-10-18,2026-08-18,1072.14
292,124,completed,2025-10-19,2026-08-19,1009.01
293,90,pending,2025-10-20,2026-08-20,1044.5
294,138,completed,2025-10-21,2026-08-21,1005.79
295,45,cancelled,2025-10-22,2026-08-22,1007.35
296,198,cancelled,2025-10-23,2026-08-23,1058.14
297,124,completed,2025-10-24,2026-08-24,1086.4
298,90,pending,2025-10-25,2026-08-25,1051.47
299,138,completed,2025-10-26,2026-08-26,1098.35
300,45,cancelled,2025-10-27,2026-08-27,1067.78
301,198,cancelled,2025-10-28,2026-08-28,1092.31
302,124,completed,2025-10-29,2026-08-29,1055.72
303,90,pending,2025-10-30,2026-08-30,1053.73
304,138,completed,2025-10-31,2026-08-31,1049.13
305,45,cancelled,2025-11-01,2026-09-01,1019.62
306,198,cancelled,2025-11-02,2026-09-02,1098.96
307,124,completed,2025-11-03,2026-09-03,1087.61
308,90,pending,2025-11-04,2026-09-04,1092.01
309,138,completed,2025-11-05,2026-09-05,1009.76
310,45,cancelled,2025-11-06,2026-09-06,1072.61
311,198,cancelled,2025-11-07,2026-09-07,1089.95
312,124,completed,2025-11-08,2026-09-08,1088.57
313,90,pending,2025-11-09,2026-09-09,1070.12
314,138,completed,2025-11-10,2026-09-10,1043.37
315,45,cancelled,2025-11-11,2026-09-11,1066.58
316,198,cancelled,2025-11-12,2026-09-12,1098.46
317,124,completed,2025-11-13,2026-09-13,1014.56
318,90,pending,2025-11-14,2026-09-14,1032.75
319,138,completed,2025-11-15,2026-09-15,1058.5
320,45,cancelled,2025-11-16,2026-09-16,1008.82
321,198,cancelled,2025-11-17,2026-09-17,1050.75
322,124,completed,2025-11-18,2026-09-18,1017.94
323,90,pending,2025-11-19,2026-09-19,1074.7
324,138,completed,2025-11-20,2026-09-20,1083.09
325,45,cancelled,2025-11-21,2026-09-21,1038.24
326,198,cancelled,2025-11-22,2026-09-22,1023.49
327,124,completed,2025-11-23,2026-09-23,1029.7
328,90,pending,2025-11-24,2026-09-24,1094.16
329,138,completed,2025-11-25,2026-09-25,1082.33
330,45,cancelled,2025-11-26,2026-09-26,1023.71
331,198,cancelled,2025-11-27,2026-09-27,1016.72
332,124,completed,2025-11-28,2026-09-28,1058.4
333,90,pending,2025-11-29,2026-09-29,1019.2
334,138,completed,2025-11-30,2026-09-30,1004.7
335,45,cancelled,2025-12-01,2026-10-01,1028.33
336,198,cancelled,2025-12-02,2026-10-02,1056.69
337,124,completed,2025-12-03,2026-10-03,1050.2
338,90,pending,2025-12-04,2026-10-04,1077.43
339,138,completed,2025-12-05,2026-10-05,1045.96
340,45,cancelled,2025-12-06,2026-10-06,1015.58
341,198,cancelled,2025-12-07,2026-10-07,1017.76
342,124,completed,2025-12-08,2026-10-08,1087.17
343,90,pending,2025-12-09,2026-10-09,1097.98
344,138,completed,2025-12-10,2026-10-10,1053.37
345,45,cancelled,2025-12-11,2026-10-11,1044.76
346,198,cancelled,2025-12-12,2026-10-12,1050.61
347,124,completed,2025-12-13,2026-10-13,1078.39
348,90,pending,2025-12-14,2026-10-14,1017.06
349,138,completed,2025-12-15,2026-10-15,1041.22
350,45,cancelled,2025-12-16,2026-10-16,1025.23
351,198,cancelled,2025-12-17,2026-10-17,1013.26
352,124,completed,2025-12-18,2026-10-18,1053.19
353,90,pending,2025-12-19,2026-10-19,1000.2
354,138,completed,2025-12-20,2026-10-20,1070.64
355,45,cancelled,2025-12-21,2026-10-21,1013.21
356,198,cancelled,2025-12-22,2026-10-22,1060.28
357,124,completed,2025-12-23,2026-10-23,1082.88
358,90,pending,2025-12-24,2026-10-24,1009.62
359,138,completed,2025-12-25,2026-10-25,1009.41
360,45,cancelled,2025-12-26,2026-10-26,1042.16
361,198,cancelled,2025-12-27,2026-10-27,1052.72
362,124,completed,2025-12-28,2026-10-28,1066.71
363,90,pending,2025-12-29,2026-10-29,1091.56
364,138,completed,2025-12-30,2026-10-30,1061.11
365,45,cancelled,2025-12-31,2026-10-31,1082.4
366,198,cancelled,2026-01-01,2026-11-01,1031.13
367,124,completed,2026-01-02,2026-11-02,1098.32
368,90,pending,2026-01-03,2026-11-03,1057.88
369,138,completed,2026-01-04,2026-11-04,1005.03
370,45,cancelled,2026-01-05,2026-11-05,1024.1
371,198,cancelled,2026-01-06,2026-11-06,1009.98
372,124,completed,2026-01-07,2026-11-07,1060.15
373,90,pending,2026-01-08,2026-11-08,1074.22
374,138,completed,2026-01-09,2026-11-09,1099.99
375,45,cancelled,2026-01-10,2026-11-10,1008.34
376,198,cancelled,2026-01-11,2026-11-11,1041.98
377,124,completed,2026-01-12,2026-11-12,1069.09
378,90,pending,2026-01-13,2026-11-13,1071.45
379,138,completed,2026-01-14,2026-11-14,1013.9
380,45,cancelled,2026-01-15,2026-11-15,1052.02
381,198,cancelled,2026-01-16,2026-11-16,1033.32
382,124,completed,2026-01-17,2026-11-17,1036.44
383,90,pending,2026-01-18,2026-11-18,1083.9
384,138,completed,2026-01-19,2026-11-19,1045.09
385,45,cancelled,2026-01-20,2026-11-20,1001.59
386,198,cancelled,2026-01-21,2026-11-21,1081.1
387,124,completed,2026-01-22,2026-11-22,1093.14
388,90,pending,2026-01-23,2026-11-23,1062.21
389,138,completed,2026-01-24,2026-11-24,1038.25
390,45,cancelled,2026-01-25,2026-11-25,1024.65
391,198,cancelled,2026-01-26,2026-11-26,1004.3
392,124,completed,2026-01-27,2026-11-27,1084.71
393,90,pending,2026-01-28,2026-11-28,1099.16
394,138,completed,2026-01-29,2026-11-29,1032.72
395,45,cancelled,2026-01-30,2026-11-30,1047.82
396,198,cancelled,2026-01-31,2026-12-01,1070.35
397,124,completed,2026-02-01,2026-12-02,1049.11
398,90,pending,2026-02-02,2026-12-03,1076.55
399,138,completed,2026-02-03,2026-12-04,1074.7
400,45,cancelled,2026-02-04,2026-12-05,1064.19
401,198,cancelled,2026-02-05,2026-12-06,1094.49
402,124,completed,2026-02-06,2026-12-07,1000.12
403,90,pending,2026-02-07,2026-12-08,1024.96
404,138,completed,2026-02-08,2026-12-09,1014.67
405,45,cancelled,2026-02-09,2026-12-10,1060.97
406,198,cancelled,2026-02-10,2026-12-11,1009.9
407,124,completed,2026-02-11,2026-12-12,1024.72
408,90,pending,2026-02-12,2026-12-13,1041.48
409,138,completed,2026-02-13,2026-12-14,1086.96
410,45,cancelled,2026-02-14,2026-12-15,1053.27
411,198,cancelled,2026-02-15,2026-12-16,1028.12
412,124,completed,2026-02-16,2026-12-17,1002.3
413,90,pending,2026-02-17,2026-12-18,1024.13
414,138,completed,2026-02-18,2026-12-19,1017.92
415,45,cancelled,2026-02-19,2026-12-20,1015.48
416,198,cancelled,2026-02-20,2026-12-21,1003.74
417,124,completed,2026-02-21,2026-12-22,1014.64
418,90,pending,2026-02-22,2026-12-23,1008.38
419,138,completed,2026-02-23,2026-12-24,1018.21
420,45,cancelled,2026-02-24,2026-12-25,1027.54
421,198,cancelled,2026-02-25,2026-12-26,1057.82
422,124,completed,2026-02-26,2026-12-27,1088.44
423,90,pending,2026-02-27,2026-12-28,1086.82
424,138,completed,2026-02-28,2026-12-29,1065.09
425,45,cancelled,2026-03-01,2026-12-30,1035.55
426,198,cancelled,2026-03-02,2026-12-31,1039.52
427,124,completed,2026-03-03,2027-01-01,1075.29
428,90,pending,2026-03-04,2027-01-02,1077.78
429,138,completed,2026-03-05,2027-01-03,1026.57
430,45,cancelled,2026-03-06,2027-01-04,1052.34
431,198,cancelled,2026-03-07,2027-01-05,1098.65
432,124,completed,2026-03-08,2027-01-06,1003.61
433,90,pending,2026-03-09,2027-01-07,1094.89
434,138,completed,2026-03-10,2027-01-08,1050.39
435,45,cancelled,2026-03-11,2027-01-09,1002.53
436,198,cancelled,2026-03-12,2027-01-10,1003.08
437,124,completed,2026-03-13,2027-01-11,1035.51
438,90,pending,2026-03-14,2027-01-12,1096.92
439,138,completed,2026-03-15,2027-01-13,1097.31
440,45,cancelled,2026-03-16,2027-01-14,1097.59
441,198,cancelled,2026-03-17,2027-01-15,1098.4
442,124,completed,2026-03-18,2027-01-16,1048.78
443,90,pending,2026-03-19,2027-01-17,1046.95
444,138,completed,2026-03-20,2027-01-18,1013.45
445,45,cancelled,2026-03-21,2027-01-19,1084.15
446,198,cancelled,2026-03-22,2027-01-20,1055.14
447,124,completed,2026-03-23,2027-01-21,1075.19
448,90,pending,2026-03-24,2027-01-22,1071.76
449,138,completed,2026-03-25,2027-01-23,1085.89
450,45,cancelled,2026-03-26,2027-01-24,1002.95
451,198,cancelled,2026-03-27,2027-01-25,1076.97
452,124,completed,2026-03-28,2027-01-26,1046.19
453,90,pending,2026-03-29,2027-01-27,1024.54
454,138,completed,2026-03-30,2027-01-28,1084.89
455,45,cancelled,2026-03-31,2027-01-29,1059.02
456,198,cancelled,2026-04-01,2027-01-30,1034.29
457,124,completed,2026-04-02,2027-01-31,1057.86
458,90,pending,2026-04-03,2027-02-01,1016.94
459,138,completed,2026-04-04,2027-02-02,1024.09
460,45,cancelled,2026-04-05,2027-02-03,1030.73
461,198,cancelled,2026-04-06,2027-02-04,1067.39
462,124,completed,2026-04-07,2027-02-05,1029.29
463,90,pending,2026-04-08,2027-02-06,1039.85
464,138,completed,2026-04-09,2027-02-07,1038.52
465,45,cancelled,2026-04-10,2027-02-08,1096.63
466,198,cancelled,2026-04-11,2027-02-09,1023.33
467,124,completed,2026-04-12,2027-02-10,1093.81
468,90,pending,2026-04-13,2027-02-11,1034.7
469,138,completed,2026-04-14,2027-02-12,1054.28
470,45,cancelled,2026-04-15,2027-02-13,1034.57
471,198,cancelled,2026-04-16,2027-02-14,1096.57
472,124,completed,2026-04-17,2027-02-15,1093.31
473,90,pending,2026-04-18,2027-02-16,1043.54
474,138,completed,2026-04-19,2027-02-17,1028.25
475,45,cancelled,2026-04-20,2027-02-18,1021.0
476,198,cancelled,2026-04-21,2027-02-19,1041.83
477,124,completed,2026-04-22,2027-02-20,1070.61
478,90,pending,2026-04-23,2027-02-21,1069.48
479,138,completed,2026-04-24,2027-02-22,1099.78
480,45,cancelled,2026-04-25,2027-02-23,1053.62
481,198,cancelled,2026-04-26,2027-02-24,1021.84
482,124,completed,2026-04-27,2027-02-25,1016.98
483,90,pending,2026-04-28,2027-02-26,1046.55
484,138,completed,2026-04-29,2027-02-27,1027.5
485,45,cancelled,2026-04-30,2027-02-28,1033.88
486,198,cancelled,2026-05-01,2027-03-01,1015.35
487,124,completed,2026-05-02,2027-03-02,1062.83
488,90,pending,2026-05-03,2027-03-03,1079.82
489,138,completed,2026-05-04,2027-03-04,1046.83
490,45,cancelled,2026-05-05,2027-03-05,1096.87
491,198,cancelled,2026-05-06,2027-03-06,1035.84
492,124,completed,2026-05-07,2027-03-07,1068.62
493,90,pending,2026-05-08,2027-03-08,1050.45
494,138,completed,2026-05-09,2027-03-09,1011.87
495,45,cancelled,2026-05-10,2027-03-10,1034.26
496,198,cancelled,2026-05-11,2027-03-11,1049.38
497,124,completed,2026-05-12,2027-03-12,1032.18
498,90,pending,2026-05-13,2027-03-13,1089.41
499,138,completed,2026-05-14,2027-03-14,1049.25
500,45,cancelled,2026-05-15,2027-03-15,1017.28
501,198,cancelled,2026-05-16,2027-03-16,1024.57
502,124,completed,2026-05-17,2027-03-17,1079.59
503,90,pending,2026-05-18,2027-03-18,1047.66
504,138,completed,2026-05-19,2027-03-19,1053.32
505,45,cancelled,2026-05-20,2027-03-20,1003.91
506,198,cancelled,2026-05-21,2027-03-21,1010.77
507,124,completed,2026-05-22,2027-03-22,1071.5
508,90,pending,2026-05-23,2027-03-23,1075.57
509,138,completed,2026-05-24,2027-03-24,1047.55
510,45,cancelled,2026-05-25,2027-03-25,1058.05
511,198,cancelled,2026-05-26,2027-03-26,1029.53
512,124,completed,2026-05-27,2027-03-27,1062.73
513,90,pending,2026-05-28,2027-03-28,1096.53
514,138,completed,2026-05-29,2027-03-29,1052.62
515,45,cancelled,2026-05-30,2027-03-30,1001.09
516,198,cancelled,2026-05-31,2027-03-31,1027.03
517,124,completed,2026-06-01,2027-04-01,1033.05
518,90,pending,2026-06-02,2027-04-02,1081.6
519,138,completed,2026-06-03,2027-04-03,1037.13
520,45,cancelled,2026-06-04,2027-04-04,1015.18
