product_id,forecast_date,predicted_sales,confidence_interval_lower,confidence_interval_upper,created_at
1,2025-12-15,39.59,36.38,42.24,2025-11-02 19:07:37.930483
1,2025-12-16,33.51,29.09,36.38,2025-11-02 19:07:37.930494
1,2025-12-17,43.92,42.54,47.53,2025-11-02 19:07:37.930505
1,2025-12-18,19.99,17.45,23.28,2025-11-02 19:07:37.930525
1,2025-12-19,26.6,24.07,28.83,2025-11-02 19:07:37.930536
1,2025-12-20,32.82,29.8,35.12,2025-11-02 19:07:37.930547
1,2025-12-21,14.22,10.13,18.42,2025-11-02 19:07:37.930558
1,2025-12-22,14.62,12.57,16.58,2025-11-02 19:07:37.930586
1,2025-12-23,44.81,40.71,46.1,2025-11-02 19:07:37.930598
1,2025-12-24,42.47,41.32,44.48,2025-11-02 19:07:37.930611
1,2025-12-25,46.35,41.9,50.48,2025-11-02 19:07:37.930623
1,2025-12-26,25.59,23.3,30.12,2025-11-02 19:07:37.930635
1,2025-12-27,34.57,32.39,37.42,2025-11-02 19:07:37.930647
1,2025-12-28,44.67,40.05,48.3,2025-11-02 19:07:37.930659
1,2025-12-29,37.97,36.81,41.38,2025-11-02 19:07:37.930672
1,2025-12-30,36.0,34.92,40.38,2025-11-02 19:07:37.930712
1,2025-12-31,46.77,44.82,51.16,2025-11-02 19:07:37.930733
2,2025-11-02,34.95,31.63,39.32,2025-11-02 19:07:37.930751
2,2025-11-03,17.85,13.69,20.11,2025-11-02 19:07:37.930763
2,2025-11-04,40.44,37.63,41.9,2025-11-02 19:07:37.930787
2,2025-11-05,22.17,20.23,23.57,2025-11-02 19:07:37.930798
2,2025-11-06,9.96,5.84,14.49,2025-11-02 19:07:37.930809
2,2025-11-07,46.72,42.31,51.04,2025-11-02 19:07:37.930821
2,2025-11-08,8.1,3.94,12.23,2025-11-02 19:07:37.930832
2,2025-11-09,10.91,7.26,13.72,2025-11-02 19:07:37.930843
2,2025-11-10,45.5,41.72,50.3,2025-11-02 19:07:37.930854
2,2025-11-11,9.72,8.56,14.62,2025-11-02 19:07:37.930865
2,2025-11-12,8.61,6.06,12.21,2025-11-02 19:07:37.930881
2,2025-11-13,44.6,42.58,45.72,2025-11-02 19:07:37.930892
2,2025-11-14,28.46,25.57,30.69,2025-11-02 19:07:37.930903
2,2025-11-15,44.33,40.33,48.76,2025-11-02 19:07:37.930915
2,2025-11-16,12.28,8.51,17.18,2025-11-02 19:07:37.930926
2,2025-11-17,32.54,30.85,37.52,2025-11-02 19:07:37.930937
2,2025-11-18,28.77,24.41,30.37,2025-11-02 19:07:37.930948
2,2025-11-19,34.97,30.32,38.1,2025-11-02 19:07:37.930960
2,2025-11-20,17.99,16.48,20.17,2025-11-02 19:07:37.930971
2,2025-11-21,20.97,17.13,22.68,2025-11-02 19:07:37.930982
2,2025-11-22,9.77,7.23,12.61,2025-11-02 19:07:37.930993
2,2025-11-23,33.28,29.45,37.83,2025-11-02 19:07:37.931005
2,2025-11-24,18.0,14.89,20.47,2025-11-02 19:07:37.931016
2,2025-11-25,5.06,1.75,9.33,2025-11-02 19:07:37.931027
2,2025-11-26,6.64,5.63,10.55,2025-11-02 19:07:37.931038
2,2025-11-27,35.77,33.15,39.42,2025-11-02 19:07:37.931049
2,2025-11-28,47.9,45.91,49.89,2025-11-02 19:07:37.931060
2,2025-11-29,13.38,9.48,15.79,2025-11-02 19:07:37.931071
2,2025-11-30,49.49,45.63,51.96,2025-11-02 19:07:37.931082
2,2025-12-01,11.71,8.35,13.89,2025-11-02 19:07:37.931093
2,2025-12-02,45.75,42.98,47.92,2025-11-02 19:07:37.931104
2,2025-12-03,31.48,29.94,34.73,2025-11-02 19:07:37.931115
2,2025-12-04,7.53,4.1,10.65,2025-11-02 19:07:37.931127
2,2025-12-05,28.43,24.7,29.61,2025-11-02 19:07:37.931138
2,2025-12-06,25.69,22.91,28.53,2025-11-02 19:07:37.931149
2,2025-12-07,49.1,47.54,52.86,2025-11-02 19:07:37.931160
2,2025-12-08,23.09,20.04,27.14,2025-11-02 19:07:37.931171
2,2025-12-09,12.08,8.03,13.36,2025-11-02 19:07:37.931182
2,2025-12-10,26.75,22.78,28.52,2025-11-02 19:07:37.931193
2,2025-12-11,39.69,38.02,43.89,2025-11-02 19:07:37.931204
2,2025-12-12,26.1,22.36,30.77,2025-11-02 19:07:37.931215
2,2025-12-13,23.38,21.45,27.85,2025-11-02 19:07:37.931226
2,2025-12-14,12.27,8.75,16.97,2025-11-02 19:07:37.931237
2,2025-12-15,35.35,33.57,36.96,2025-11-02 19:07:37.931248
2,2025-12-16,16.35,13.79,17.99,2025-11-02 19:07:37.931259
2,2025-12-17,40.9,38.47,45.65,2025-11-02 19:07:37.931270
2,2025-12-18,42.91,38.28,45.09,2025-11-02 19:07:37.931281
2,2025-12-19,30.82,28.53,32.85,2025-11-02 19:07:37.931292
2,2025-12-20,32.32,28.05,33.69,2025-11-02 19:07:37.931303
2,2025-12-21,17.41,15.59,21.6,2025-11-02 19:07:37.931315
2,2025-12-22,47.0,45.68,49.52,2025-11-02 19:07:37.931326
2,2025-12-23,46.15,43.77,50.0,2025-11-02 19:07:37.931337
2,2025-12-24,9.53,6.75,12.54,2025-11-02 19:07:37.931348
2,2025-12-25,39.09,36.94,41.15,2025-11-02 19:07:37.931359
2,2025-12-26,18.63,15.41,23.14,2025-11-02 19:07:37.931370
2,2025-12-27,42.39,41.16,46.91,2025-11-02 19:07:37.931381
2,2025-12-28,9.28,6.62,13.34,2025-11-02 19:07:37.931392
2,2025-12-29,8.67,7.51,10.99,2025-11-02 19:07:37.931403
2,2025-12-30,37.85,34.76,40.51,2025-11-02 19:07:37.931414
2,2025-12-31,41.59,37.52,45.73,2025-11-02 19:07:37.931425
3,2025-11-02,25.69,24.61,27.38,2025-11-02 19:07:37.931437
3,2025-11-03,38.36,34.35,43.25,2025-11-02 19:07:37.931448
3,2025-11-04,13.56,12.07,15.11,2025-11-02 19:07:37.931459
3,2025-11-05,13.32,10.2,18.22,2025-11-02 19:07:37.931470
3,2025-11-06,31.52,28.43,35.22,2025-11-02 19:07:37.931481
3,2025-11-07,8.33,4.07,11.91,2025-11-02 19:07:37.931492
3,2025-11-08,12.7,9.18,16.09,2025-11-02 19:07:37.931503
3,2025-11-09,7.92,5.85,10.48,2025-11-02 19:07:37.931514
3,2025-11-10,16.02,14.05,19.31,2025-11-02 19:07:37.931525
3,2025-11-11,26.19,22.52,31.01,2025-11-02 19:07:37.931536
3,2025-11-12,34.73,31.4,39.12,2025-11-02 19:07:37.931547
3,2025-11-13,33.44,31.78,35.7,2025-11-02 19:07:37.931558
3,2025-11-14,38.0,34.05,42.95,2025-11-02 19:07:37.931569
3,2025-11-15,33.21,28.62,34.43,2025-11-02 19:07:37.931580
3,2025-11-16,30.48,25.8,32.63,2025-11-02 19:07:37.931591
3,2025-11-17,11.97,9.57,16.14,2025-11-02 19:07:37.931601
3,2025-11-18,8.81,5.41,10.35,2025-11-02 19:07:37.931612
3,2025-11-19,24.6,19.74,26.38,2025-11-02 19:07:37.931623
3,2025-11-20,6.53,3.82,9.84,2025-11-02 19:07:37.931634
3,2025-11-21,18.39,15.22,23.2,2025-11-02 19:07:37.931646
3,2025-11-22,19.03,16.79,21.96,2025-11-02 19:07:37.931674
3,2025-11-23,28.19,27.18,31.65,2025-11-02 19:07:37.931698
3,2025-11-24,49.88,47.71,53.4,2025-11-02 19:07:37.931726
3,2025-11-25,5.21,1.79,8.0,2025-11-02 19:07:37.931742
3,2025-11-26,28.86,25.69,30.57,2025-11-02 19:07:37.931753
3,2025-11-27,39.65,36.43,41.73,2025-11-02 19:07:37.931764
3,2025-11-28,47.18,46.13,51.09,2025-11-02 19:07:37.931775
3,2025-11-29,22.16,19.07,24.32,2025-11-02 19:07:37.931786
3,2025-11-30,19.46,18.4,23.38,2025-11-02 19:07:37.931797
3,2025-12-01,36.99,33.37,41.5,2025-11-02 19:07:37.931809
3,2025-12-02,45.56,42.33,49.3,2025-11-02 19:07:37.931819
3,2025-12-03,5.49,1.11,9.76,2025-11-02 19:07:37.931830
3,2025-12-04,5.91,2.74,10.54,2025-11-02 19:07:37.931841
3,2025-12-05,13.16,10.75,15.49,2025-11-02 19:07:37.931852
3,2025-12-06,21.02,19.85,23.13,2025-11-02 19:07:37.931863
3,2025-12-07,18.27,13.81,20.68,2025-11-02 19:07:37.931878
3,2025-12-08,25.12,22.6,26.61,2025-11-02 19:07:37.931889
3,2025-12-09,49.57,45.26,52.73,2025-11-02 19:07:37.931900
3,2025-12-10,26.44,22.84,28.74,2025-11-02 19:07:37.931911
3,2025-12-11,7.26,4.65,12.2,2025-11-02 19:07:37.931922
3,2025-12-12,13.21,10.09,14.24,2025-11-02 19:07:37.931933
3,2025-12-13,10.49,7.14,12.68,2025-11-02 19:07:37.931944
3,2025-12-14,45.76,43.13,47.59,2025-11-02 19:07:37.931955
3,2025-12-15,29.55,25.37,30.63,2025-11-02 19:07:37.931966
3,2025-12-16,27.75,23.65,29.16,2025-11-02 19:07:37.931977
3,2025-12-17,45.63,43.57,47.31,2025-11-02 19:07:37.931987
3,2025-12-18,31.52,29.82,35.24,2025-11-02 19:07:37.931998
3,2025-12-19,27.05,25.61,31.7,2025-11-02 19:07:37.932009
3,2025-12-20,35.29,32.11,37.79,2025-11-02 19:07:37.932020
3,2025-12-21,11.07,7.24,15.32,2025-11-02 19:07:37.932031
3,2025-12-22,10.66,7.68,13.6,2025-11-02 19:07:37.932042
3,2025-12-23,20.75,16.59,22.14,2025-11-02 19:07:37.932053
3,2025-12-24,14.23,13.22,16.72,2025-11-02 19:07:37.932064
3,2025-12-25,18.1,13.64,22.09,2025-11-02 19:07:37.932075
3,2025-12-26,8.8,4.84,12.5,2025-11-02 19:07:37.932086
3,2025-12-27,17.68,16.62,19.14,2025-11-02 19:07:37.932097
3,2025-12-28,16.25,11.98,19.11,2025-11-02 19:07:37.932108
3,2025-12-29,46.33,42.17,48.48,2025-11-02 19:07:37.932118
3,2025-12-30,43.04,41.57,44.19,2025-11-02 19:07:37.932129
3,2025-12-31,32.38,30.02,34.7,2025-11-02 19:07:37.932140
4,2025-11-02,35.92,31.52,38.21,2025-11-02 19:07:37.932152
4,2025-11-03,19.63,16.49,23.24,2025-11-02 19:07:37.932163
4,2025-11-04,14.13,9.48,17.75,2025-11-02 19:07:37.932174
4,2025-11-05,33.13,28.52,37.76,2025-11-02 19:07:37.932185
4,2025-11-06,11.1,9.52,15.15,2025-11-02 19:07:37.932196
4,2025-11-07,48.06,44.39,50.7,2025-11-02 19:07:37.932207
4,2025-11-08,35.76,33.84,40.75,2025-11-02 19:07:37.932218
4,2025-11-09,24.4,19.67,27.12,2025-11-02 19:07:37.932229
4,2025-11-10,46.77,44.42,50.81,2025-11-02 19:07:37.932240
4,2025-11-11,47.8,44.21,51.51,2025-11-02 19:07:37.932251
4,2025-11-12,9.63,6.73,14.18,2025-11-02 19:07:37.932262
4,2025-11-13,15.84,11.69,19.54,2025-11-02 19:07:37.932273
4,2025-11-14,15.03,12.9,17.74,2025-11-02 19:07:37.932284
4,2025-11-15,10.63,5.98,14.59,2025-11-02 19:07:37.932295
4,2025-11-16,21.42,19.22,25.18,2025-11-02 19:07:37.932305
4,2025-11-17,24.09,22.17,26.81,2025-11-02 19:07:37.932316
4,2025-11-18,44.21,42.93,46.68,2025-11-02 19:07:37.932327
4,2025-11-19,48.31,47.25,52.87,2025-11-02 19:07:37.932338
4,2025-11-20,21.87,20.11,22.93,2025-11-02 19:07:37.932349
4,2025-11-21,8.17,6.49,9.28,2025-11-02 19:07:37.932360
4,2025-11-22,20.11,18.93,23.88,2025-11-02 19:07:37.932371
4,2025-11-23,41.85,37.3,45.05,2025-11-02 19:07:37.932382
4,2025-11-24,47.59,46.57,49.13,2025-11-02 19:07:37.932393
4,2025-11-25,18.19,14.04,22.73,2025-11-02 19:07:37.932404
4,2025-11-26,32.82,30.28,36.48,2025-11-02 19:07:37.932415
4,2025-11-27,13.14,10.31,16.17,2025-11-02 19:07:37.932426
4,2025-11-28,9.72,8.58,13.72,2025-11-02 19:07:37.932437
4,2025-11-29,29.06,26.73,31.81,2025-11-02 19:07:37.932448
4,2025-11-30,48.1,45.56,49.51,2025-11-02 19:07:37.932459
4,2025-12-01,25.86,22.27,26.91,2025-11-02 19:07:37.932470
4,2025-12-02,19.96,17.38,22.81,2025-11-02 19:07:37.932481
4,2025-12-03,18.58,14.91,23.35,2025-11-02 19:07:37.932491
4,2025-12-04,46.13,42.47,49.16,2025-11-02 19:07:37.932502
4,2025-12-05,42.16,37.82,46.48,2025-11-02 19:07:37.932513
4,2025-12-06,12.1,11.0,17.04,2025-11-02 19:07:37.932524
4,2025-12-07,48.18,44.93,53.16,2025-11-02 19:07:37.932535
4,2025-12-08,39.67,36.61,42.23,2025-11-02 19:07:37.932546
4,2025-12-09,31.68,28.62,36.65,2025-11-02 19:07:37.932557
4,2025-12-10,27.07,22.73,31.33,2025-11-02 19:07:37.932568
4,2025-12-11,8.21,6.87,11.85,2025-11-02 19:07:37.932579
4,2025-12-12,16.66,13.03,18.24,2025-11-02 19:07:37.932590
4,2025-12-13,22.87,21.46,25.0,2025-11-02 19:07:37.932601
4,2025-12-14,8.97,4.09,11.55,2025-11-02 19:07:37.932612
4,2025-12-15,45.55,40.67,50.19,2025-11-02 19:07:37.932623
4,2025-12-16,25.47,21.36,27.09,2025-11-02 19:07:37.932634
4,2025-12-17,9.27,4.76,10.39,2025-11-02 19:07:37.932645
4,2025-12-18,48.75,45.07,51.43,2025-11-02 19:07:37.932656
4,2025-12-19,11.36,7.47,14.61,2025-11-02 19:07:37.932667
4,2025-12-20,37.0,34.33,38.27,2025-11-02 19:07:37.932686
4,2025-12-21,19.17,16.91,20.21,2025-11-02 19:07:37.932697
4,2025-12-22,5.43,3.11,9.34,2025-11-02 19:07:37.932708
4,2025-12-23,33.08,31.13,36.49,2025-11-02 19:07:37.932718
4,2025-12-24,34.13,31.04,37.22,2025-11-02 19:07:37.932729
4,2025-12-25,21.64,20.15,24.18,2025-11-02 19:07:37.932741
4,2025-12-26,20.54,17.17,24.97,2025-11-02 19:07:37.932752
4,2025-12-27,21.89,18.05,26.14,2025-11-02 19:07:37.932763
4,2025-12-28,14.53,9.92,15.81,2025-11-02 19:07:37.932774
4,2025-12-29,45.58,43.92,47.93,2025-11-02 19:07:37.932785
4,2025-12-30,32.24,27.61,34.26,2025-11-02 19:07:37.932796
4,2025-12-31,39.36,35.52,41.0,2025-11-02 19:07:37.932807
5,2025-11-02,26.58,23.65,28.79,2025-11-02 19:07:37.932818
5,2025-11-03,40.1,35.39,43.96,2025-11-02 19:07:37.932829
5,2025-11-04,48.78,47.58,49.93,2025-11-02 19:07:37.932840
5,2025-11-05,45.22,40.63,46.65,2025-11-02 19:07:37.932851
5,2025-11-06,21.09,16.74,22.6,2025-11-02 19:07:37.932862
5,2025-11-07,17.03,13.31,21.96,2025-11-02 19:07:37.932879
5,2025-11-08,40.87,36.76,43.24,2025-11-02 19:07:37.932890
5,2025-11-09,34.76,33.31,39.73,2025-11-02 19:07:37.932902
5,2025-11-10,26.63,23.07,31.13,2025-11-02 19:07:37.932912
5,2025-11-11,5.04,0.14,7.48,2025-11-02 19:07:37.932924
5,2025-11-12,20.28,18.7,24.71,2025-11-02 19:07:37.932935
5,2025-11-13,44.19,43.11,45.41,2025-11-02 19:07:37.932945
5,2025-11-14,46.33,44.83,49.81,2025-11-02 19:07:37.932957
5,2025-11-15,32.88,28.41,36.17,2025-11-02 19:07:37.932968
5,2025-11-16,24.53,19.63,26.45,2025-11-02 19:07:37.932979
5,2025-11-17,16.82,15.48,21.72,2025-11-02 19:07:37.932990
5,2025-11-18,36.79,35.74,40.6,2025-11-02 19:07:37.933001
5,2025-11-19,23.19,18.32,25.3,2025-11-02 19:07:37.933012
5,2025-11-20,36.96,33.45,38.01,2025-11-02 19:07:37.933023
5,2025-11-21,44.83,43.28,48.49,2025-11-02 19:07:37.933034
5,2025-11-22,39.9,36.38,41.29,2025-11-02 19:07:37.933045
5,2025-11-23,48.88,46.94,52.39,2025-11-02 19:07:37.933056
5,2025-11-24,40.87,36.12,44.29,2025-11-02 19:07:37.933067
5,2025-11-25,16.66,12.31,18.31,2025-11-02 19:07:37.933078
5,2025-11-26,6.0,1.37,9.3,2025-11-02 19:07:37.933089
5,2025-11-27,8.13,4.81,9.71,2025-11-02 19:07:37.933100
5,2025-11-28,6.41,4.95,10.51,2025-11-02 19:07:37.933111
5,2025-11-29,39.0,35.59,40.84,2025-11-02 19:07:37.933123
5,2025-11-30,38.25,35.62,41.3,2025-11-02 19:07:37.933134
5,2025-12-01,45.39,42.56,48.9,2025-11-02 19:07:37.933145
5,2025-12-02,48.28,45.47,51.52,2025-11-02 19:07:37.933156
5,2025-12-03,31.3,29.34,35.25,2025-11-02 19:07:37.933167
5,2025-12-04,37.7,35.84,38.75,2025-11-02 19:07:37.933178
5,2025-12-05,49.95,46.63,51.68,2025-11-02 19:07:37.933189
5,2025-12-06,17.76,14.29,19.31,2025-11-02 19:07:37.933199
5,2025-12-07,6.68,2.48,10.54,2025-11-02 19:07:37.933210
5,2025-12-08,18.93,17.7,21.88,2025-11-02 19:07:37.933221
5,2025-12-09,17.43,14.84,19.52,2025-11-02 19:07:37.933232
5,2025-12-10,12.89,10.34,17.75,2025-11-02 19:07:37.933243
5,2025-12-11,16.98,14.64,19.3,2025-11-02 19:07:37.933254
5,2025-12-12,26.61,22.24,29.22,2025-11-02 19:07:37.933265
5,2025-12-13,41.28,39.82,45.86,2025-11-02 19:07:37.933276
5,2025-12-14,13.34,12.18,14.97,2025-11-02 19:07:37.933287
5,2025-12-15,13.58,10.55,16.38,2025-11-02 19:07:37.933298
5,2025-12-16,37.21,36.01,40.21,2025-11-02 19:07:37.933309
5,2025-12-17,19.96,16.44,21.14,2025-11-02 19:07:37.933320
5,2025-12-18,6.57,3.86,10.82,2025-11-02 19:07:37.933331
5,2025-12-19,35.2,34.13,36.91,2025-11-02 19:07:37.933342
5,2025-12-20,15.2,12.51,18.55,2025-11-02 19:07:37.933353
5,2025-12-21,14.74,12.21,18.08,2025-11-02 19:07:37.933364
5,2025-12-22,22.25,20.68,25.22,2025-11-02 19:07:37.933375
5,2025-12-23,19.58,15.12,23.68,2025-11-02 19:07:37.933386
5,2025-12-24,13.56,11.95,15.95,2025-11-02 19:07:37.933397
5,2025-12-25,23.55,18.82,25.75,2025-11-02 19:07:37.933408
5,2025-12-26,44.04,41.02,48.58,2025-11-02 19:07:37.933419
5,2025-12-27,36.59,32.75,39.66,2025-11-02 19:07:37.933430
5,2025-12-28,42.81,40.8,47.44,2025-11-02 19:07:37.933441
5,2025-12-29,33.65,30.9,38.58,2025-11-02 19:07:37.933452
5,2025-12-30,43.79,39.7,45.89,2025-11-02 19:07:37.933462
5,2025-12-31,48.82,44.85,52.24,2025-11-02 19:07:37.933474
6,2025-11-02,46.48,44.83,48.04,2025-11-02 19:07:37.933485
6,2025-11-03,30.37,29.14,34.02,2025-11-02 19:07:37.933496
6,2025-11-04,15.83,14.36,18.47,2025-11-02 19:07:37.933507
6,2025-11-05,25.97,24.29,27.13,2025-11-02 19:07:37.933518
6,2025-11-06,23.63,19.59,28.13,2025-11-02 19:07:37.933529
6,2025-11-07,9.39,6.29,11.44,2025-11-02 19:07:37.933540
6,2025-11-08,21.86,17.12,24.27,2025-11-02 19:07:37.933551
6,2025-11-09,21.44,19.6,26.28,2025-11-02 19:07:37.933562
6,2025-11-10,25.54,22.26,28.35,2025-11-02 19:07:37.933573
6,2025-11-11,16.38,12.14,17.5,2025-11-02 19:07:37.933585
6,2025-11-12,36.06,32.68,37.64,2025-11-02 19:07:37.933596
6,2025-11-13,12.47,8.83,14.71,2025-11-02 19:07:37.933607
6,2025-11-14,16.96,15.72,21.02,2025-11-02 19:07:37.933618
6,2025-11-15,44.72,40.44,47.58,2025-11-02 19:07:37.933629
6,2025-11-16,29.03,27.06,30.72,2025-11-02 19:07:37.933640
6,2025-11-17,42.04,37.84,46.14,2025-11-02 19:07:37.933650
6,2025-11-18,25.85,21.39,30.56,2025-11-02 19:07:37.933661
6,2025-11-19,19.78,17.88,22.63,2025-11-02 19:07:37.933672
6,2025-11-20,13.07,8.53,15.42,2025-11-02 19:07:37.933690
6,2025-11-21,30.93,27.55,33.99,2025-11-02 19:07:37.933701
6,2025-11-22,12.04,7.08,13.73,2025-11-02 19:07:37.933712
6,2025-11-23,38.82,34.65,40.4,2025-11-02 19:07:37.933723
6,2025-11-24,46.99,44.04,50.51,2025-11-02 19:07:37.933734
6,2025-11-25,33.9,30.88,35.47,2025-11-02 19:07:37.933745
6,2025-11-26,38.83,35.5,40.3,2025-11-02 19:07:37.933756
6,2025-11-27,36.51,32.7,39.71,2025-11-02 19:07:37.933767
6,2025-11-28,9.07,6.66,10.28,2025-11-02 19:07:37.933778
6,2025-11-29,26.49,21.87,27.5,2025-11-02 19:07:37.933789
6,2025-11-30,17.0,12.8,18.04,2025-11-02 19:07:37.933800
6,2025-12-01,5.46,2.01,9.61,2025-11-02 19:07:37.933810
6,2025-12-02,39.94,35.82,42.39,2025-11-02 19:07:37.933821
6,2025-12-03,44.72,43.67,46.97,2025-11-02 19:07:37.933832
6,2025-12-04,20.17,18.51,22.52,2025-11-02 19:07:37.933843
6,2025-12-05,31.36,28.28,33.64,2025-11-02 19:07:37.933854
6,2025-12-06,38.72,34.86,40.84,2025-11-02 19:07:37.933865
6,2025-12-07,19.55,17.4,21.06,2025-11-02 19:07:37.933880
6,2025-12-08,38.88,37.69,40.48,2025-11-02 19:07:37.933890
6,2025-12-09,9.74,5.44,10.91,2025-11-02 19:07:37.933901
6,2025-12-10,34.91,33.73,39.05,2025-11-02 19:07:37.933912
6,2025-12-11,46.07,43.12,50.29,2025-11-02 19:07:37.933924
6,2025-12-12,36.79,32.61,40.86,2025-11-02 19:07:37.933935
6,2025-12-13,14.24,11.24,19.08,2025-11-02 19:07:37.933946
6,2025-12-14,20.46,15.58,23.79,2025-11-02 19:07:37.933957
6,2025-12-15,25.77,22.14,30.04,2025-11-02 19:07:37.933968
6,2025-12-16,22.74,21.61,26.57,2025-11-02 19:07:37.933979
6,2025-12-17,48.03,44.53,49.78,2025-11-02 19:07:37.933990
6,2025-12-18,16.17,11.53,17.23,2025-11-02 19:07:37.934000
6,2025-12-19,29.69,28.06,31.82,2025-11-02 19:07:37.934011
6,2025-12-20,18.81,16.94,22.98,2025-11-02 19:07:37.934022
6,2025-12-21,19.95,17.57,22.76,2025-11-02 19:07:37.934033
6,2025-12-22,45.6,41.85,46.85,2025-11-02 19:07:37.934044
6,2025-12-23,6.77,3.5,11.32,2025-11-02 19:07:37.934055
6,2025-12-24,19.55,17.56,23.54,2025-11-02 19:07:37.934066
6,2025-12-25,32.09,28.83,33.69,2025-11-02 19:07:37.934077
6,2025-12-26,12.92,10.79,14.75,2025-11-02 19:07:37.934087
6,2025-12-27,48.72,47.64,52.22,2025-11-02 19:07:37.934098
6,2025-12-28,28.29,26.0,32.84,2025-11-02 19:07:37.934109
6,2025-12-29,35.16,30.16,36.83,2025-11-02 19:07:37.934120
6,2025-12-30,8.95,7.4,11.03,2025-11-02 19:07:37.934131
6,2025-12-31,23.76,19.31,25.89,2025-11-02 19:07:37.934142
7,2025-11-02,46.19,43.33,49.77,2025-11-02 19:07:37.934153
7,2025-11-03,16.9,15.27,21.38,2025-11-02 19:07:37.934164
7,2025-11-04,9.93,5.83,13.25,2025-11-02 19:07:37.934175
7,2025-11-05,43.75,39.88,45.88,2025-11-02 19:07:37.934186
7,2025-11-06,30.85,29.8,33.75,2025-11-02 19:07:37.934197
7,2025-11-07,8.87,6.15,10.31,2025-11-02 19:07:37.934208
7,2025-11-08,48.0,44.9,52.65,2025-11-02 19:07:37.934222
7,2025-11-09,6.01,2.46,8.23,2025-11-02 19:07:37.934242
7,2025-11-10,24.43,19.94,29.35,2025-11-02 19:07:37.934297
7,2025-11-11,16.09,11.3,19.85,2025-11-02 19:07:37.934311
7,2025-11-12,47.81,44.56,52.66,2025-11-02 19:07:37.934322
7,2025-11-13,45.16,43.65,47.4,2025-11-02 19:07:37.934334
7,2025-11-14,15.94,12.65,20.15,2025-11-02 19:07:37.934345
7,2025-11-15,39.17,35.27,41.67,2025-11-02 19:07:37.934356
7,2025-11-16,11.28,9.44,15.25,2025-11-02 19:07:37.934367
7,2025-11-17,11.64,9.75,14.34,2025-11-02 19:07:37.934378
